Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
171,0,2026-04-28 06:53:14,45957.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0171.mp4,Saved
172,0,2026-04-28 06:54:08,46011.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0172.mp4,Saved
173,0,2026-04-28 06:54:25,46028.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0173.mp4,Saved
174,0,2026-04-28 06:55:35,46098.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0174.mp4,Saved
175,0,2026-04-28 06:56:21,46144.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0175.mp4,Saved
176,0,2026-04-28 06:56:41,46164.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0176.mp4,Saved
177,0,2026-04-28 06:57:07,46190.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0177.mp4,Saved
178,0,2026-04-28 06:57:44,46227.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0178.mp4,Saved
179,0,2026-04-28 06:59:23,46326.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0179.mp4,Saved
180,0,2026-04-28 07:00:16,46379.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0180.mp4,Saved
181,0,2026-04-28 07:00:38,46401.5,17.0,3.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0181.mp4,Saved
182,0,2026-04-28 07:04:54,46657.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0182.mp4,Saved
183,0,2026-04-28 07:05:17,46680.5,16.0,3.0,10.0,2.0,No,possible_feed_clips\bee_0\bee_0_feed_0183.mp4,Saved
184,0,2026-04-28 07:05:32,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
185,0,2026-04-28 07:06:04,46727.5,14.0,0.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0185.mp4,Saved
186,0,2026-04-28 07:06:17,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
187,0,2026-04-28 07:06:28,46751.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0187.mp4,Saved
188,0,2026-04-28 07:07:25,46808.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0188.mp4,Saved
189,0,2026-04-28 07:08:23,46866.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0189.mp4,Saved
190,0,2026-04-28 07:08:59,46902.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0190.mp4,Saved
191,0,2026-04-28 07:12:57,47140.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0191.mp4,Saved
192,0,2026-04-28 07:13:11,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
193,0,2026-04-28 07:13:13,47156.5,15.0,3.0,10.0,1.0,No,possible_feed_clips\bee_0\bee_0_feed_0193.mp4,Saved
194,0,2026-04-28 07:13:27,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
195,0,2026-04-28 07:13:38,47181.5,12.0,1.0,10.0,0.0,No,possible_feed_clips\bee_0\bee_0_feed_0195.mp4,Saved
